"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","place_type","state","new_confirmed","new_deaths"
"Santana",1600600,2020-04-19,17,123096,121364,FALSE,FALSE,60,48.74244,2020-04-19,0.0333,2,15,"city","AP",0,0
"Vitória do Jari",1600808,2020-04-19,17,16254,15931,FALSE,FALSE,2,12.30466,2020-04-19,0,0,6,"city","AP",0,0
NA,16,2020-04-19,17,861773,845731,FALSE,FALSE,416,48.27257,2020-04-19,0.0264,11,31,"state","AP",16,1
"Laranjal do Jari",1600279,2020-04-20,17,51362,50410,FALSE,FALSE,7,13.62875,2020-04-20,0,0,6,"city","AP",2,0
"Macapá",1600303,2020-04-20,17,512902,503327,FALSE,FALSE,358,69.79891,2020-04-20,0.0307,11,32,"city","AP",17,2
"Mazagão",1600402,2020-04-20,17,22053,21632,FALSE,FALSE,2,9.06906,2020-04-20,0,0,7,"city","AP",0,0
"Oiapoque",1600501,2020-04-20,17,27906,27270,FALSE,FALSE,5,17.91729,2020-04-20,0,0,17,"city","AP",0,0
"Porto Grande",1600535,2020-04-20,17,22452,21971,FALSE,FALSE,1,4.45395,2020-04-20,0,0,7,"city","AP",0,0
"Santana",1600600,2020-04-20,17,123096,121364,FALSE,FALSE,60,48.74244,2020-04-20,0.0333,2,16,"city","AP",0,0
"Vitória do Jari",1600808,2020-04-20,17,16254,15931,FALSE,FALSE,2,12.30466,2020-04-20,0,0,7,"city","AP",0,0
NA,16,2020-04-20,17,861773,845731,FALSE,FALSE,435,50.47733,2020-04-20,0.0299,13,32,"state","AP",19,2
"Laranjal do Jari",1600279,2020-04-21,17,51362,50410,FALSE,FALSE,8,15.57572,2020-04-21,0,0,7,"city","AP",1,0
"Macapá",1600303,2020-04-21,17,512902,503327,FALSE,FALSE,386,75.25804,2020-04-21,0.0285,11,33,"city","AP",28,0
"Mazagão",1600402,2020-04-21,17,22053,21632,FALSE,FALSE,2,9.06906,2020-04-21,0,0,8,"city","AP",0,0
"Oiapoque",1600501,2020-04-21,17,27906,27270,FALSE,FALSE,6,21.50075,2020-04-21,0,0,18,"city","AP",1,0
"Porto Grande",1600535,2020-04-21,17,22452,21971,FALSE,FALSE,1,4.45395,2020-04-21,0,0,8,"city","AP",0,0
"Santana",1600600,2020-04-21,17,123096,121364,FALSE,FALSE,61,49.55482,2020-04-21,0.0328,2,17,"city","AP",1,0
"Vitória do Jari",1600808,2020-04-21,17,16254,15931,FALSE,FALSE,2,12.30466,2020-04-21,0,0,8,"city","AP",0,0
NA,16,2020-04-21,17,861773,845731,FALSE,FALSE,466,54.07456,2020-04-21,0.0279,13,33,"state","AP",31,0
